node	KO
K00001	K00001
K00002	K00002
K00003	K00003
K00004	K00004
K00005	K00005
K00006	K00006
K00007	K00007
K00008	K00008
K00009	K00009
K00010	K00010
K00011	K00011
K00012	K00012
K00013	K00013
K00014	K00014
K00015	K00015
K00016	K00016
K00018	K00018
K00019	K00019
K00020	K00020
K00021	K00021
K00022	K00022
K00023	K00023
K00024-K00025-K00026	K00024
K00024-K00025-K00026	K00025
K00024-K00025-K00026	K00026
K00027-K00028	K00027
K00027-K00028	K00028
K00029	K00029
K00030	K00030
K00031	K00031
K00032	K00032
K00033	K00033
K00034	K00034
K00035	K00035
K00036	K00036
K00037	K00037
K00038	K00038
K00039	K00039
K00040	K00040
K00041	K00041
K00042	K00042
K00043	K00043
K00044	K00044
K00045	K00045
K00048	K00048
K00049	K00049
K00050	K00050
K00051	K00051
K00052	K00052
K00053	K00053
K00054	K00054
K00055	K00055
K00057	K00057
K00058	K00058
K00059	K00059
K00060	K00060
K00061	K00061
K00064	K00064
K00065	K00065
K00066	K00066
K00067	K00067
K00068	K00068
K00070	K00070
K00071	K00071
K00072	K00072
K00073	K00073
K00074	K00074
K00075	K00075
K00077	K00077
K00078	K00078
K00079	K00079
K00081	K00081
K00082	K00082
K00083	K00083
K00084	K00084
K00086	K00086
K00087	K00087
K00088	K00088
K00089	K00089
K00090	K00090
K00093	K00093
K00094	K00094
K00096	K00096
K00097	K00097
K00099	K00099
K00100	K00100
K00101	K00101
K00102	K00102
K00103	K00103
K00104	K00104
K00105	K00105
K00106	K00106
K00108	K00108
K00109	K00109
K00111-K00112-K00113	K00111
K00111-K00112-K00113	K00112
K00111-K00112-K00113	K00113
K00114	K00114
K00115	K00115
K00116	K00116
K00117	K00117
K00121	K00121
K00122-K00123-K00124-K00125-K00126-K00127	K00122
K00122-K00123-K00124-K00125-K00126-K00127	K00123
K00122-K00123-K00124-K00125-K00126-K00127	K00124
K00122-K00123-K00124-K00125-K00126-K00127	K00125
K00122-K00123-K00124-K00125-K00126-K00127	K00126
K00122-K00123-K00124-K00125-K00126-K00127	K00127
K00128	K00128
K00129	K00129
K00130	K00130
K00131	K00131
K00132	K00132
K00133	K00133
K00134	K00134
K00135	K00135
K00137	K00137
K00138	K00138
K00139	K00139
K00140	K00140
K00141	K00141
K00143	K00143
K00145	K00145
K00146	K00146
K00147	K00147
K00148	K00148
K00149	K00149
K00150	K00150
K00151	K00151
K00152	K00152
K00156	K00156
K00157	K00157
K00158	K00158
K00161-K00162-K00163	K00161
K00161-K00162-K00163	K00162
K00161-K00162-K00163	K00163
K00164	K00164
K00166-K00167	K00166
K00166-K00167	K00167
K00169-K00170-K00171-K00172	K00169
K00169-K00170-K00171-K00172	K00170
K00169-K00170-K00171-K00172	K00171
K00169-K00170-K00171-K00172	K00172
K00174-K00175-K00176-K00177	K00174
K00174-K00175-K00176-K00177	K00175
K00174-K00175-K00176-K00177	K00176
K00174-K00175-K00176-K00177	K00177
K00186-K00187-K00188-K00189	K00186
K00186-K00187-K00188-K00189	K00187
K00186-K00187-K00188-K00189	K00188
K00186-K00187-K00188-K00189	K00189
K00192	K00192
K00193	K00193
K00194	K00194
K00195	K00195
K00196	K00196
K00197	K00197
K00198	K00198
K00200-K00201-K00202-K00203-K00204-K00205	K00200
K00200-K00201-K00202-K00203-K00204-K00205	K00201
K00200-K00201-K00202-K00203-K00204-K00205	K00202
K00200-K00201-K00202-K00203-K00204-K00205	K00203
K00200-K00201-K00202-K00203-K00204-K00205	K00204
K00200-K00201-K00202-K00203-K00204-K00205	K00205
K00207	K00207
K00208	K00208
K00209	K00209
K00210	K00210
K00211	K00211
K00212	K00212
K00213	K00213
K00214	K00214
K00215	K00215
K00216	K00216
K00217	K00217
K00218	K00218
K00220	K00220
K00222	K00222
K00223	K00223
K00225	K00225
K00226	K00226
K00227	K00227
K00228	K00228
K00230	K00230
K00231	K00231
K00232	K00232
K00234-K00235-K00236-K00237	K00234
K00234-K00235-K00236-K00237	K00235
K00234-K00235-K00236-K00237	K00236
K00234-K00235-K00236-K00237	K00237
K00239-K00240-K00241-K00242	K00239
K00239-K00240-K00241-K00242	K00240
K00239-K00240-K00241-K00242	K00241
K00239-K00240-K00241-K00242	K00242
K00244-K00245-K00246-K00247	K00244
K00244-K00245-K00246-K00247	K00245
K00244-K00245-K00246-K00247	K00246
K00244-K00245-K00246-K00247	K00247
K00248	K00248
K00249	K00249
K00251	K00251
K00252	K00252
K00253	K00253
K00254	K00254
K00255	K00255
K00257	K00257
K00259	K00259
K00260	K00260
K00261	K00261
K00262	K00262
K00263	K00263
K00264-K00265-K00266	K00264
K00264-K00265-K00266	K00265
K00264-K00265-K00266	K00266
K00270	K00270
K00271	K00271
K00272	K00272
K00273	K00273
K00274	K00274
K00275	K00275
K00276	K00276
K00278	K00278
K00279	K00279
K00281-K00282-K00283	K00281
K00281-K00282-K00283	K00282
