sample	MG-RAST ID	project	name	bps	sequences
M01.1-V1	4628901.3	MUSTcombined	M01.1V1combinedGenes	306874789	1032885
M01.1-V2	4628902.3	MUSTcombined	M01.1V2combinedGenes	316237110	1097696
M01.1-V3	4669474.3	MUSTcombined	M1.1V3.combinedAssemblyGenes	328899111	1166358
M01.2-V1	4628903.3	MUSTcombined	M01.2V1combinedGenes	277654346	887632
M01.2-V2	4628904.3	MUSTcombined	M01.2V2combinedGenes	304799713	963652
M01.2-V3	4628905.3	MUSTcombined	M01.2V3combinedGenes	290139955	918590
M01.3-V1	4669475.3	MUSTcombined	M1.3V1.combinedAssemblyGenes	218317013	703792
M01.3-V2	4628906.3	MUSTcombined	M01.3V2combinedGenes	281448774	857559
M01.3-V3	4628907.3	MUSTcombined	M01.3V3combinedGenes	193485507	587840
M01.4-V2	4628909.3	MUSTcombined	M01.4V2combinedGenes	327075140	1134311
M01.4-V3	4628910.3	MUSTcombined	M01.4V3combinedGenes	198630820	730455
M02.1-V1	4628911.3	MUSTcombined	M02.1V1combinedGenes	235838262	768902
M02.1-V2	4628912.3	MUSTcombined	M02.1V2combinedGenes	251632226	809249
M02.1-V3	4628913.3	MUSTcombined	M02.1V3combinedGenes	227740492	729383
M02.2-V2	4628914.3	MUSTcombined	M02.2V2combinedGenes	248165421	741909
M02.2-V3	4628915.3	MUSTcombined	M02.2V3combinedGenes	232574763	734061
M02.3-V1	4628916.3	MUSTcombined	M02.3V1combinedGenes	221482682	772724
M02.3-V2	4628917.3	MUSTcombined	M02.3V2combinedGenes	253875019	813578
M02.3-V3	4669473.3	MUSTcombined	M2.3V3.combinedAssemblyGenes	232795970	745497
M02.4-V1	4628918.3	MUSTcombined	M02.4V1combinedGenes	307008187	1021626
M02.4-V2	4628919.3	MUSTcombined	M02.4V2combinedGenes	287553535	964234
M02.4-V3	4628920.3	MUSTcombined	M02.4V3combinedGenes	297349300	943224
M02.5-V1	4628921.3	MUSTcombined	M02.5V1combinedGenes	231567045	701177
M02.5-V2	4628922.3	MUSTcombined	M02.5V2combinedGenes	197439251	594754
M03.3-V3	4628923.3	MUSTcombined	M03.3V3combinedGenes	247276950	723870
M03.4-V2	4628924.3	MUSTcombined	M03.4V2combinedGenes	282810825	914964
M03.5-V1	4628925.3	MUSTcombined	M03.5V1combinedGenes	232742592	749768
M04.1-V3	4628927.3	MUSTcombined	M04.1V3combinedGenes	211842215	676995
M04.2-V2	4628928.3	MUSTcombined	M04.2V2combinedGenes	237588004	736214
M04.2-V3	4628929.3	MUSTcombined	M04.2V3combinedGenes	223289045	750410
M04.3-V1	4628930.3	MUSTcombined	M04.3V1combinedGenes	229245553	709613
M04.4-V1	4628932.3	MUSTcombined	M04.4V1combinedGenes	221048092	674436
M04.4-V3	4628934.3	MUSTcombined	M04.4V3combinedGenes	240355458	800542
M04.5-V3	4628935.3	MUSTcombined	M04.5V3combinedGenes	231803086	765414
M04.6-V2	4628936.3	MUSTcombined	M04.6V2combinedGenes	267481944	907877
M04.6-V3	4628937.3	MUSTcombined	M04.6V3combinedGenes	272775396	879890
