K00001	Adh; Alcohol dehydrogenase (EC:1.1.1.1 1.2.1.10); K00001 alcohol dehydrogenase [EC:1.1.1.1] (A)
K00002	AKR1A1, ALDR1, ALR, ARM, DD3; aldo-keto reductase family 1, member A1 (aldehyde reductase) (EC:1.1.1.2); K00002 alcohol dehydrogenase (NADP+) [EC:1.1.1.2] (A)
K00003	HOM6; Hom6p; K00003 homoserine dehydrogenase [EC:1.1.1.3] (A)
K00004	BDH1; Bdh1p; K00004 (R,R)-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.303] (A)
K00005	gld1; mitochondrial glycerol dehydrogenase Gld1; K00005 glycerol dehydrogenase [EC:1.1.1.6] (A)
K00006	GPD1L, GPD1-L; glycerol-3-phosphate dehydrogenase 1-like (EC:1.1.1.8); K00006 glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8] (A)
K00007	atlD; D-arabitol dehydrogenase; K00007 D-arabinitol 4-dehydrogenase [EC:1.1.1.11] (A)
K00008	SORD, SORD1; sorbitol dehydrogenase (EC:1.1.1.14); K00008 L-iditol 2-dehydrogenase [EC:1.1.1.14] (A)
K00009	uncharacterized LOC100382636; K00009 mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17] (A)
K00010	uncharacterized oxidoreductase yrbE-like; K00010 myo-inositol 2-dehydrogenase [EC:1.1.1.18] (A)
K00011	AKR1B1, ADR, ALDR1, ALR2, AR; aldo-keto reductase family 1, member B1 (aldose reductase) (EC:1.1.1.21); K00011 aldehyde reductase [EC:1.1.1.21] (A)
K00012	UGDH, GDH, UDP-GlcDH, UDPGDH, UGD; UDP-glucose 6-dehydrogenase (EC:1.1.1.22); K00012 UDPglucose 6-dehydrogenase [EC:1.1.1.22] (A)
K00013	HDH; Histidinol dehydrogenase; K00013 histidinol dehydrogenase [EC:1.1.1.23] (A)
K00014	aroE; dehydroshikimate reductase, NAD(P)-binding (EC:1.1.1.25); K00014 shikimate dehydrogenase [EC:1.1.1.25] (A)
K00015	2-hydroxyacid dehydrogenase (EC:1.1.1.26); K00015 glyoxylate reductase [EC:1.1.1.26] (A)
K00016	LDHAL6A, LDH6A; lactate dehydrogenase A-like 6A (EC:1.1.1.27); K00016 L-lactate dehydrogenase [EC:1.1.1.27] (A)
K00018	D-isomer specific 2-hydroxyacid dehydrogenase family protein (EC:1.1.1.-); K00018 glycerate dehydrogenase [EC:1.1.1.29] (A)
K00019	BDH2, DHRS6, EFA6R, PRO20933, SDR15C1, UCPA-OR, UNQ6308; 3-hydroxybutyrate dehydrogenase, type 2 (EC:1.1.1.30); K00019 3-hydroxybutyrate dehydrogenase [EC:1.1.1.30] (A)
K00020	HIBADH, NS5ATP1; 3-hydroxyisobutyrate dehydrogenase (EC:1.1.1.31); K00020 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31] (A)
K00021	HMGCR, LDLCQ3; 3-hydroxy-3-methylglutaryl-CoA reductase (EC:1.1.1.34); K00021 hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34] (A)
K00022	HADH, HAD, HADH1, HADHSC, HCDH, HHF4, MSCHAD, SCHAD; hydroxyacyl-CoA dehydrogenase (EC:1.1.1.35); K00022 3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35] (A)
K00023	dehydrogenase; K00023 acetoacetyl-CoA reductase [EC:1.1.1.36] (A)
K00024	mdh; malate dehydrogenase, NAD(P)-binding (EC:1.1.1.37); K00024 malate dehydrogenase [EC:1.1.1.37] (A)
K00025	MDH1, MDH-s, MDHA, MGC:1375, MOR2; malate dehydrogenase 1, NAD (soluble) (EC:1.1.1.37); K00025 malate dehydrogenase [EC:1.1.1.37] (A)
K00026	MDH2, M-MDH, MDH, MGC:3559, MOR1; malate dehydrogenase 2, NAD (mitochondrial) (EC:1.1.1.37); K00026 malate dehydrogenase [EC:1.1.1.37] (A)
K00027	ME2, ODS1; malic enzyme 2, NAD(+)-dependent, mitochondrial (EC:1.1.1.38); K00027 malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38] (A)
K00028	NAD-ME1; NAD-dependent malic enzyme 1; K00028 malate dehydrogenase (decarboxylating) [EC:1.1.1.39] (A)
K00029	ME3, NADP-ME; malic enzyme 3, NADP(+)-dependent, mitochondrial (EC:1.1.1.40); K00029 malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40] (A)
K00030	IDH3A; isocitrate dehydrogenase 3 (NAD+) alpha (EC:1.1.1.41); K00030 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41] (A)
K00031	IDH1, IDCD, IDH, IDP, IDPC, PICD; isocitrate dehydrogenase 1 (NADP+), soluble (EC:1.1.1.42); K00031 isocitrate dehydrogenase [EC:1.1.1.42] (A)
K00032	2-hydroxyacid dehydrogenase; K00032 phosphogluconate 2-dehydrogenase [EC:1.1.1.43] (A)
K00033	PGD, 6PGD; phosphogluconate dehydrogenase (EC:1.1.1.44); K00033 6-phosphogluconate dehydrogenase [EC:1.1.1.44] (A)
K00034	gdh; glucose 1-dehydrogenase (EC:1.1.1.47); K00034 glucose 1-dehydrogenase [EC:1.1.1.47] (A)
K00035	dgd; D-galactose 1-dehydrogenase; K00035 D-galactose 1-dehydrogenase [EC:1.1.1.48] (A)
K00036	G6PD, G6PD1; glucose-6-phosphate dehydrogenase (EC:1.1.1.49); K00036 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49] (A)
K00037	AKR1C4, 3-alpha-HSD, C11, CDR, CHDR, DD-4, DD4, HAKRA; aldo-keto reductase family 1, member C4 (chlordecone reductase; 3-alpha hydroxysteroid dehydrogenase, type I; dihydrodiol dehydrogenase 4) (EC:1.1.1.225 1.1.1.50); K00037 3-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.50] K00089 3alpha-hydroxysteroid dehydrogenase (A-specific) [EC:1.1.1.213] K00092 chlordecone reductase [EC:1.1.1.225] K00212 trans-1,2-dihydrobenzene-1,2-diol dehydrogenase [EC:1.3.1.20] (A)
K00038	short-chain dehydrogenase/reductase SDR; K00038 3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53] (A)
K00039	TSC10; 3-ketosphinganine reductase (EC:1.1.1.56); K00039 ribitol 2-dehydrogenase [EC:1.1.1.56] (A)
K00040	uxuB; D-mannonate oxidoreductase, NAD-dependent (EC:1.1.1.57); K00040 fructuronate reductase [EC:1.1.1.57] (A)
K00041	uxaB; altronate oxidoreductase, NAD-dependent (EC:1.1.1.58); K00041 tagaturonate reductase [EC:1.1.1.58] (A)
K00042	2-hydroxy-3-oxopropionate reductase (EC:1.1.1.31 1.1.1.60); K00042 2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60] (A)
K00043	gbd2; NAD-dependent 4-hyddoxybutyrate dehydrogenase oxidoreduct (EC:1.1.1.61); K00043 4-hydroxybutyrate dehydrogenase [EC:1.1.1.61] (A)
K00044	HSD17B1, EDH17B2, EDHB17, HSD17, SDR28C1; hydroxysteroid (17-beta) dehydrogenase 1 (EC:1.1.1.62); K00044 estradiol 17beta-dehydrogenase [EC:1.1.1.62] (A)
K00045	DSF1; Dsf1p; K00045 mannitol 2-dehydrogenase [EC:1.1.1.67] (A)
K00046	idnO; 5-keto-D-gluconate-5-reductase (EC:1.1.1.69); K00046 gluconate 5-dehydrogenase [EC:1.1.1.69] (A)
K00048	fucO; L-1,2-propanediol oxidoreductase (EC:1.1.1.77); K00048 lactaldehyde reductase [EC:1.1.1.77] (A)
